Nama,Judul,Abstrak,Tahun
"Az Zahra, Fathima",PENERAPAN METODE OCTAVE ALLEGRO UNTUK PENILAIAN RISIKO KEAMANAN INFORMASI PADA INTEGRATED LIBRARY SYSTEM (INLISLITE).,"Penelitian yang dilakukan pada tahun 2024 ini berfokus pada topik PENERAPAN METODE OCTAVE ALLEGRO UNTUK PENILAIAN RISIKO KEAMANAN INFORMASI PADA INTEGRATED LIBRARY SYSTEM (INLISLITE). Urgensi dari penelitian ini didasarkan pada pentingnya penerapan teknologi informasi dan komunikasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan OCTAVE ALLEGRO UNTUK PENILAIAN RISIKO KEAMANAN INFORMASI PADA INTEGRATED LIBRARY SYSTEM. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2024
"andhika, reza wisma",SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN LAHAN PERUMAHAN MENGGUNAKAN METODE ANALYTICAL HIERARCHY PROCESS (AHP) DAN TECHNIQUE FOR ORDER PREFERENCE BY SIMILARITY TO IDEAL SOLUTION (TOPSIS).,"Penelitian yang dilakukan pada tahun 2021 ini berfokus pada topik SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN LAHAN PERUMAHAN MENGGUNAKAN METODE ANALYTICAL HIERARCHY PROCESS (AHP) DAN TECHNIQUE FOR ORDER PREFERENCE BY SIMILARITY TO IDEAL SOLUTION (TOPSIS). Urgensi dari penelitian ini didasarkan pada pentingnya sistem pendukung keputusan (SPK) untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE ANALYTICAL HIERARCHY PROCESS. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2021
"BARUS, HUSEIN",ANALISIS KUALITAS LAYANAN APLIKASI MAXIM MENGGUNAKAN METODE KANO.,"Penelitian yang dilakukan pada tahun 2022 ini berfokus pada topik ANALISIS KUALITAS LAYANAN APLIKASI MAXIM MENGGUNAKAN METODE KANO. Urgensi dari penelitian ini didasarkan pada pentingnya analisis dan evaluasi mendalam untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE KANO. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2022
"Bagas, Dwi Putra",Sistem Informasi E-Learning Dalam Kegiatan Pembelajaran di SMK Negeri 5 Musi Banyuasin.,"Penelitian yang dilakukan pada tahun 2023 ini berfokus pada topik Sistem Informasi E-Learning Dalam Kegiatan Pembelajaran di SMK Negeri 5 Musi Banyuasin. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2023
"bila, salsabilla",Pengukuran Usability E-Arsip Srikandi Kemenag Kota Palembang Dengan Post-Study Usability Questionnaire (PSSUQ).,"Penelitian yang dilakukan pada tahun 2025 ini berfokus pada topik Pengukuran Usability E-Arsip Srikandi Kemenag Kota Palembang Dengan Post-Study Usability Questionnaire (PSSUQ). Urgensi dari penelitian ini didasarkan pada pentingnya penerapan teknologi informasi dan komunikasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2025
"CERAH, MUHAMAD",SISTEM INFORMASI PENERIMAAN SANTRI BARU  PONDOK PESANTREN DARUL MUTTAQIEN  MENGGUNAKAN METODE RAPID APPLICATION  DEVELOPMENT.,"Penelitian yang dilakukan pada tahun 2025 ini berfokus pada topik SISTEM INFORMASI PENERIMAAN SANTRI BARU  PONDOK PESANTREN DARUL MUTTAQIEN  MENGGUNAKAN METODE RAPID APPLICATION  DEVELOPMENT. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE RAPID APPLICATION  DEVELOPMENT. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2025
"CHANDANI, RISTI",SISTEM PENDUKUNG KEPUTUSAN KELAYAKAN CALON  TENAGA KERJA INDONESIA (CTKI) MENGGUNAKAN  METODE SIMPLE MULTI ATTRIBUTE RATING  TECHNIQUE (SMART).,"Penelitian yang dilakukan pada tahun 2019 ini berfokus pada topik SISTEM PENDUKUNG KEPUTUSAN KELAYAKAN CALON  TENAGA KERJA INDONESIA (CTKI) MENGGUNAKAN  METODE SIMPLE MULTI ATTRIBUTE RATING  TECHNIQUE (SMART). Urgensi dari penelitian ini didasarkan pada pentingnya sistem pendukung keputusan (SPK) untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE SIMPLE MULTI ATTRIBUTE RATING  TECHNIQUE. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2019
"Cahyani, Auria Ramadhan",SISTEM INFORMASI BURSA KERJA KHUSUS (BKK) PADA SMK NEGERI 1 TANJUNG LUBUK MENGGUNAKAN METODE EXTREME PROGRAMMING.,"Penelitian yang dilakukan pada tahun 2025 ini berfokus pada topik SISTEM INFORMASI BURSA KERJA KHUSUS (BKK) PADA SMK NEGERI 1 TANJUNG LUBUK MENGGUNAKAN METODE EXTREME PROGRAMMING. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE EXTREME PROGRAMMING. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2025
"Candra, Ricky Zulfika",SISTEM INFORMASI PROYEK KONSTRUKSI DENGAN  MONITORING PROGRES PEKERJAAN BERBASIS  ANDROID PADA CV SINGA RATU MANDIRI.,"Penelitian yang dilakukan pada tahun 2014 ini berfokus pada topik SISTEM INFORMASI PROYEK KONSTRUKSI DENGAN  MONITORING PROGRES PEKERJAAN BERBASIS  ANDROID PADA CV SINGA RATU MANDIRI. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2014
"DARMAWAN AGAM MERDA WIJAYA, AGAM",SISTEM INFORMASI PELAYANAN MD.VET LUBUKLINGGAU MENGGUNAKAN METODE EXTREME PROGRAMMING.,"Penelitian yang dilakukan pada tahun 2025 ini berfokus pada topik SISTEM INFORMASI PELAYANAN MD.VET LUBUKLINGGAU MENGGUNAKAN METODE EXTREME PROGRAMMING. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE EXTREME PROGRAMMING. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2025
"DARWINTO, DARWINTO",SISTEM INFORMASI PENJUALAN DENGAN MENERAPKAN  ELECTRONIC CUSTOMER RELATIONSHIP MANAGEMENT  (E-CRM) PADA PD. PANCA MOTOR PALEMBANG.,"Penelitian yang dilakukan pada tahun 2018 ini berfokus pada topik SISTEM INFORMASI PENJUALAN DENGAN MENERAPKAN  ELECTRONIC CUSTOMER RELATIONSHIP MANAGEMENT  (E-CRM) PADA PD. PANCA MOTOR PALEMBANG. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2018
"DARWIS, DARWIS",SISTEM INFORMASI GEOGRAFIS PEMETAAN LOKASI SEKOLAH SD DAN SMP DI KECAMATAN ABAB DAN PENUKAL BERBASIS WEB (Studi kasus: Dinas Pendidikan Kab. PALI).,"Penelitian yang dilakukan pada tahun 2019 ini berfokus pada topik SISTEM INFORMASI GEOGRAFIS PEMETAAN LOKASI SEKOLAH SD DAN SMP DI KECAMATAN ABAB DAN PENUKAL BERBASIS WEB (Studi kasus: Dinas Pendidikan Kab. PALI). Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2019
"DEASA, CITRA",IMPLEMENTASI METODE EXTREME PROGRAMMING PADA SISTEM INFORMASI PERCETAKAN TOTAL DESAIN PALEMBANG.,"Penelitian yang dilakukan pada tahun 2022 ini berfokus pada topik IMPLEMENTASI METODE EXTREME PROGRAMMING PADA SISTEM INFORMASI PERCETAKAN TOTAL DESAIN PALEMBANG. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan EXTREME PROGRAMMING PADA SISTEM INFORMASI PERCETAKAN TOTAL DESAIN PALEMBANG. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2022
"DHEANDA ABSHARINA, ERIENE",ANALISIS KESUKSESAN SISTEM INFORMASI E-KKN LP2M UIN RADEN FATAH PALEMBANG DENGAN MENGGUNAKAN MODEL DELONE AND MCLEAN.,"Penelitian yang dilakukan pada tahun 2021 ini berfokus pada topik ANALISIS KESUKSESAN SISTEM INFORMASI E-KKN LP2M UIN RADEN FATAH PALEMBANG DENGAN MENGGUNAKAN MODEL DELONE AND MCLEAN. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan MODEL DELONE AND MCLEAN. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2021
"DWI RIDHO SAPUTRA, DWI",SISTEM INFORMASI PELAYANAN DATA CUACA PADA  STASIUN METEOROLOGI SULTAN MAHMUD  BADARUDDIN II PALEMBANG BERBASIS CLOUD SERVICE.,"Penelitian yang dilakukan pada tahun 2019 ini berfokus pada topik SISTEM INFORMASI PELAYANAN DATA CUACA PADA  STASIUN METEOROLOGI SULTAN MAHMUD  BADARUDDIN II PALEMBANG BERBASIS CLOUD SERVICE. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2019
"Damayanti, Alfina",CONTENT BASED FILTERING UNTUK REKOMENDASI DOSEN PEMBIMBING SKRIPSI MENGGUNAKAN METRIK COSINE SIMILARITY.,"Penelitian yang dilakukan pada tahun 2024 ini berfokus pada topik CONTENT BASED FILTERING UNTUK REKOMENDASI DOSEN PEMBIMBING SKRIPSI MENGGUNAKAN METRIK COSINE SIMILARITY. Urgensi dari penelitian ini didasarkan pada pentingnya penerapan teknologi informasi dan komunikasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METRIK COSINE SIMILARITY. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2024
"Damayanti, Nia",RANCANG BANGUN SISTEM DIAGNOSA PENYAKIT BUTA  WARNA BERBASIS MOBILE PHONE.,"Penelitian yang dilakukan pada tahun 2021 ini berfokus pada topik RANCANG BANGUN SISTEM DIAGNOSA PENYAKIT BUTA  WARNA BERBASIS MOBILE PHONE. Urgensi dari penelitian ini didasarkan pada pentingnya penerapan teknologi informasi dan komunikasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2021
"Denadah, Osa",SISTEM INFORMASI TRACER STUDY ALUMNI SEKOLAH MENENGAH KEJURUAN TEKNOLOGI INFORMASI &amp; BISNIS INDOSAINS PALEMBANG.,"Penelitian yang dilakukan pada tahun 2023 ini berfokus pada topik SISTEM INFORMASI TRACER STUDY ALUMNI SEKOLAH MENENGAH KEJURUAN TEKNOLOGI INFORMASI &amp; BISNIS INDOSAINS PALEMBANG. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2023
"Desantika, Mira",Analisis Pengukuran Tingkat Kesuksesan Sistem Informasi E-Learning Versi 2020 Menggunakan Model Delone dan Mclean.,"Penelitian yang dilakukan pada tahun 2022 ini berfokus pada topik Analisis Pengukuran Tingkat Kesuksesan Sistem Informasi E-Learning Versi 2020 Menggunakan Model Delone dan Mclean. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan Model Delone dan Mclean. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2022
"Deswara, Muhammad Bayu",ANALISIS KEPUASAN PENGGUNA SILAYAK UIN RADEN FATAH PALEMBANG MENGGUNAKAN MODEL  END USER COMPUTING SATISFACTION.,"Penelitian yang dilakukan pada tahun 2025 ini berfokus pada topik ANALISIS KEPUASAN PENGGUNA SILAYAK UIN RADEN FATAH PALEMBANG MENGGUNAKAN MODEL  END USER COMPUTING SATISFACTION. Urgensi dari penelitian ini didasarkan pada pentingnya analisis dan evaluasi mendalam untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan MODEL  END USER COMPUTING SATISFACTION. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2025
"Desyntiah, Dinda",Asosiasi Data Transaksi Penjualan di Minimarket Surya Mart Palembang dengan Algoritma Frequent Pattern Growth(FP-Growth).,"Penelitian yang dilakukan pada tahun 2022 ini berfokus pada topik Asosiasi Data Transaksi Penjualan di Minimarket Surya Mart Palembang dengan Algoritma Frequent Pattern Growth(FP-Growth). Urgensi dari penelitian ini didasarkan pada pentingnya penerapan teknologi informasi dan komunikasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan Frequent Pattern Growth. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2022
